Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z,Datos_tmp_s,Datos_tmp_loc
26-10-2021 01:45:29,0.26,-0.25,-10.61,0,\N
26-10-2021 01:45:30,0.02,0.1,-10.67,0,\N
26-10-2021 01:45:31,-0.08,-0.24,-10.03,0,\N
26-10-2021 01:45:32,0.03,0.38,-9.86,0,\N
26-10-2021 01:45:33,0.24,-0.22,-10.44,0,\N
26-10-2021 01:45:34,-0.15,-0.11,-10.21,0,\N
26-10-2021 01:45:35,0.48,0.23,-10.01,0,\N
26-10-2021 01:45:36,-0.11,0.29,-10.43,0,\N
26-10-2021 01:45:37,-0.11,0.3,-10.42,0,\N
26-10-2021 01:45:38,0.1,-0.45,-10.34,0,\N
26-10-2021 01:45:39,-0.28,0.18,-10.15,0,\N
26-10-2021 01:45:40,-0.06,0.51,-9.9,0,\N
26-10-2021 01:45:41,0.21,-0.22,-11.08,0,\N
26-10-2021 01:45:42,-0.07,0.49,-10.2,0,\N
26-10-2021 01:45:43,0.18,0.12,-10.43,0,\N
26-10-2021 01:45:44,0.01,0.14,-10.07,0,\N
26-10-2021 01:45:45,-0.24,0.21,-9.99,0,\N
26-10-2021 01:45:46,0.12,0.08,-10.41,0,\N
26-10-2021 01:45:47,-0.02,-0.37,-10.11,0,\N
26-10-2021 01:45:48,-0.14,0.33,-9.91,0,\N
26-10-2021 01:45:49,-0.14,0.55,-9.53,0,\N
26-10-2021 01:45:50,0.04,0.26,-10.2,0,\N
26-10-2021 01:45:51,0.15,0.04,-10.21,0,\N
26-10-2021 01:45:52,-0.01,-0.13,-10.16,0,\N
26-10-2021 01:45:53,-0.36,-0.08,-10.03,0,\N
26-10-2021 01:45:54,-0.09,0.53,-9.98,0,\N
26-10-2021 01:45:55,0.28,-0.02,-10.71,0,\N
26-10-2021 01:45:56,-0.07,0.07,-10.34,0,\N
26-10-2021 01:45:57,-0.12,-0.01,-9.96,0,\N
26-10-2021 01:45:58,-0.03,1.01,-9.3,0,\N
26-10-2021 01:45:59,0.12,0.2,-10.23,0,\N
26-10-2021 01:46:00,0.39,0.03,-10.37,0,\N
26-10-2021 01:46:01,0.12,0.27,-10.43,0,\N
26-10-2021 01:46:02,0.09,-0.09,-10.37,0,\N
26-10-2021 01:46:03,0.01,-0.26,-10.21,0,\N
26-10-2021 01:46:04,0.04,0.27,-10.58,0,\N
26-10-2021 01:46:05,0.37,-0.18,-10.91,0,\N
26-10-2021 01:46:06,-0.09,0.07,-10.55,0,\N
26-10-2021 01:46:07,-0.02,-0.36,-10.4,0,\N
26-10-2021 01:46:08,0.04,0.18,-9.81,0,\N
26-10-2021 01:46:09,0.49,0.03,-10.35,0,\N
26-10-2021 01:46:10,0.18,0.48,-10.88,0,\N
26-10-2021 01:46:11,0.38,0.2,-10.29,0,\N
26-10-2021 01:46:12,-0.13,0.03,-10.27,0,\N
26-10-2021 01:46:13,0.1,-0.45,-10.68,0,\N
26-10-2021 01:46:14,0.19,0.07,-10.15,0,\N
26-10-2021 01:46:15,-0.12,0.27,-9.96,0,\N
26-10-2021 01:46:16,-0.02,-0.18,-10.06,0,\N
26-10-2021 01:46:17,-0.08,-0.04,-10.26,0,\N
26-10-2021 01:46:18,-0.05,-0.02,-10.25,0,\N
26-10-2021 01:46:19,-0.03,-0.02,-10.51,0,\N
26-10-2021 01:46:20,-0.34,0.09,-10.05,0,\N
26-10-2021 01:46:21,-0.15,-0.05,-10.21,0,\N
26-10-2021 01:46:22,0,0.05,-10.08,0,\N
26-10-2021 01:46:23,0.07,-0.41,-10.73,0,\N
26-10-2021 01:46:24,0.07,-0.41,-10.57,0,\N
26-10-2021 01:46:25,-0.05,-0.51,-10.13,0,\N
26-10-2021 01:46:26,-0.25,-0.26,-10.15,0,\N
26-10-2021 01:46:27,-0.31,0.14,-10.19,0,\N
26-10-2021 01:46:28,0.12,-0.36,-10.53,0,\N
26-10-2021 01:46:29,-0.32,-0.1,-10.41,0,\N
26-10-2021 01:46:30,-0.23,0.25,-10.05,0,\N
26-10-2021 01:46:31,-0.05,-0.12,-10.31,0,\N
26-10-2021 01:46:32,0.28,0.04,-10.78,0,\N
26-10-2021 01:46:33,0.1,-0.14,-10.55,0,\N
26-10-2021 01:46:34,-0.08,0.54,-9.65,0,\N
26-10-2021 01:46:35,0.16,-0.02,-10.03,0,\N
26-10-2021 01:46:36,0.06,0.08,-10.15,0,\N
26-10-2021 01:46:37,0.29,0.21,-10.55,0,\N
26-10-2021 01:46:38,0.22,-0.14,-10.31,0,\N
26-10-2021 01:46:39,0.25,-0.28,-10.25,0,\N
26-10-2021 01:46:40,0.2,-0.08,-10.34,0,\N
26-10-2021 01:46:41,-0.06,-0.35,-10.72,0,\N
26-10-2021 01:46:42,0.29,-0.39,-10.81,0,\N
26-10-2021 01:46:43,0.16,-0.03,-10.1,0,\N
26-10-2021 01:46:44,-0.08,-0.38,-10.69,0,\N
26-10-2021 01:46:45,0.04,0.24,-10.35,0,\N
26-10-2021 01:46:46,0.13,0.65,-9.8,0,\N
26-10-2021 01:46:47,0.08,0.1,-10.53,0,\N
26-10-2021 01:46:48,-0.32,-0.27,-10.02,0,\N
26-10-2021 01:46:49,-0.03,-0.07,-10.27,0,\N
26-10-2021 01:46:50,-0.26,-0.17,-10.56,0,\N
26-10-2021 01:46:51,-0.14,-0.19,-10.44,0,\N
26-10-2021 01:46:52,-0.46,0.19,-10.34,0,\N
26-10-2021 01:46:53,-0.15,0.65,-9.68,0,\N
