Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-01-01 2:29:12,-0.02,3.48,-0.46
2021-01-01 2:29:13,1.36,-1.8,-8.96
2021-01-01 2:29:14,0.92,-1.77,-8.89
2021-01-01 2:29:15,0.28,0.58,-6.28
2021-01-01 2:29:16,-0.03,2.46,-0.68
2021-01-01 2:29:17,0.88,-2.07,-9.07
2021-01-01 2:29:18,0.95,-1.68,-8.43
2021-01-01 2:29:19,0.85,-1.24,-7.74
2021-01-01 2:29:20,1.18,-1.53,-8.96
2021-01-01 2:29:21,1.03,-1.64,-8.44
2021-01-01 2:29:22,0.91,-1.86,-9.11
2021-01-01 2:29:23,1.09,-1.41,-8.88
2021-01-01 2:29:24,0.28,2.22,-2.79
2021-01-01 2:29:25,-0.39,3.79,0.54
2021-01-01 2:29:26,1.26,-1.68,-8.74
2021-01-01 2:29:27,1.1,-0.3,-8.01
2021-01-01 2:29:28,0.52,0.5,-6.92
2021-01-01 2:29:29,1.03,-1.75,-8.75
2021-01-01 2:29:30,-0.35,4.09,0.48
2021-01-01 2:29:31,-0.25,3.52,0.05
2021-01-01 2:29:32,0.46,0.81,-4.46
2021-01-01 2:29:33,0.65,-0.94,-6.67
2021-01-01 2:29:34,1.28,-1.8,-8.93
2021-01-01 2:29:35,0.77,-1.84,-8.76
2021-01-01 2:29:36,0.53,-0.74,-8.27
2021-01-01 2:29:37,0.05,3.69,-0.35
2021-01-01 2:29:38,0.32,0.42,-4.46
2021-01-01 2:29:39,0.18,2.68,-2.13
2021-01-01 2:29:40,0.54,-0.28,-6.37
2021-01-01 2:29:41,0.79,-1.44,-8.65
2021-01-01 2:29:42,1.01,-1.41,-8.59
2021-01-01 2:29:43,-0.22,3.49,-0.51
2021-01-01 2:29:44,0.78,-0.84,-7.4
2021-01-01 2:29:45,0.48,-0.85,-8.6
2021-01-01 2:29:46,0.97,0.62,-6.69
2021-01-01 2:29:47,1.2,-1.81,-9.15
2021-01-01 2:29:48,0.37,0.69,-6.34
2021-01-01 2:29:49,0.7,-1.22,-8.82
2021-01-01 2:29:50,0.23,3.22,-0.03
2021-01-01 2:29:51,-0.19,2.79,0.18
2021-01-01 2:29:52,-0.09,3.84,0.1
2021-01-01 2:29:53,0.75,-0.37,-8.02
2021-01-01 2:29:54,0.45,2.69,-2.22
2021-01-01 2:29:55,0.73,-1.28,-8.3
2021-01-01 2:29:56,0.29,2.98,-0.1
2021-01-01 2:29:57,1.13,-1.86,-9.13
2021-01-01 2:29:58,1.1,-1.76,-9.31
2021-01-01 2:29:59,0.06,0.81,-3.96
2021-01-01 2:30:00,0.86,-1.84,-8.22
2021-01-01 2:30:01,1.15,-1.76,-8.96
2021-01-01 2:30:02,0.84,-1.5,-8.62
2021-01-01 2:30:03,0.42,2.66,-2.09
2021-01-01 2:30:04,-0.15,2.54,-0.77
2021-01-01 2:30:05,1.03,-1.62,-8.89
2021-01-01 2:30:06,1.09,-1.75,-8.72
2021-01-01 2:30:07,0.5,1.88,-3.83
2021-01-01 2:30:08,0.1,3.48,0.23
2021-01-01 2:30:09,0.03,0.89,-3.5
2021-01-01 2:30:10,1.4,-1.27,-8.03
2021-01-01 2:30:11,-0.49,3.71,0.28
2021-01-01 2:30:12,0.73,1.16,-5.97
2021-01-01 2:30:13,0.78,-1.45,-7.7
2021-01-01 2:30:14,0.52,0.84,-4.2
2021-01-01 2:30:15,1,-1.97,-8.56
2021-01-01 2:30:16,0.18,1.65,-3.73
2021-01-01 2:30:17,-0.11,3.13,-0.09
2021-01-01 2:30:18,0.49,0.9,-5.89
2021-01-01 2:30:19,0.73,-0.34,-5.83
2021-01-01 2:30:20,1.5,-1.46,-9.07
2021-01-01 2:30:21,1.01,-1.9,-9.11
2021-01-01 2:30:22,0.35,3.27,-0.87
2021-01-01 2:30:23,0.33,1.2,-2.92
2021-01-01 2:30:24,1.09,-1.58,-8.41
2021-01-01 2:30:25,0.58,-1.25,-8.44
2021-01-01 2:30:26,0.51,1.11,-5.58
2021-01-01 2:30:27,-0.3,4.08,0.7
2021-01-01 2:30:28,0.29,0.17,-4.84
2021-01-01 2:30:29,1.26,-1.6,-9.23
2021-01-01 2:30:30,0.48,2.05,-3.24
2021-01-01 2:30:31,1.27,-1.41,-9.03
2021-01-01 2:30:32,0.63,0.71,-6.15
2021-01-01 2:30:33,0.51,1.92,-4.16
2021-01-01 2:30:34,-0.1,0.87,-3.58
