Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-01-01 0:02:01,0.49,0.59,-5.18
2021-01-01 0:02:02,0.46,0.6,-5.16
2021-01-01 0:02:03,0.47,0.57,-5.18
2021-01-01 0:02:04,0.46,0.61,-5.19
2021-01-01 0:02:05,0.46,0.6,-5.18
2021-01-01 0:02:06,0.49,0.57,-5.16
2021-01-01 0:02:07,0.48,0.58,-5.17
2021-01-01 0:02:08,0.48,0.57,-5.16
2021-01-01 0:02:09,0.48,0.6,-5.15
2021-01-01 0:02:10,0.46,0.58,-5.13
2021-01-01 0:02:11,0.5,0.6,-5.17
2021-01-01 0:02:12,0.49,0.59,-5.18
2021-01-01 0:02:13,0.49,0.58,-5.2
2021-01-01 0:02:14,0.48,0.58,-5.17
2021-01-01 0:02:15,0.49,0.57,-5.18
2021-01-01 0:02:16,0.48,0.57,-5.18
2021-01-01 0:02:17,0.46,0.58,-5.15
2021-01-01 0:02:18,0.49,0.59,-5.17
2021-01-01 0:02:19,0.47,0.57,-5.16
2021-01-01 0:02:20,0.49,0.58,-5.19
2021-01-01 0:02:21,0.49,0.58,-5.19
2021-01-01 0:02:22,0.52,0.59,-5.19
2021-01-01 0:02:23,0.5,0.63,-5.2
2021-01-01 0:02:24,0.48,0.61,-5.2
2021-01-01 0:02:25,0.49,0.6,-5.12
2021-01-01 0:02:26,0.48,0.61,-5.15
2021-01-01 0:02:27,0.49,0.58,-5.16
2021-01-01 0:02:28,0.43,0.57,-5.19
2021-01-01 0:02:29,0.47,0.59,-5.17
2021-01-01 0:02:30,0.52,0.58,-5.14
2021-01-01 0:02:31,0.49,0.59,-5.19
2021-01-01 0:02:32,0.49,0.58,-5.19
2021-01-01 0:02:33,0.48,0.57,-5.2
2021-01-01 0:02:34,0.48,0.59,-5.18
2021-01-01 0:02:35,0.47,0.6,-5.14
2021-01-01 0:02:36,0.46,0.6,-5.17
2021-01-01 0:02:37,0.47,0.61,-5.13
2021-01-01 0:02:38,0.47,0.58,-5.16
2021-01-01 0:02:39,0.48,0.58,-5.17
2021-01-01 0:02:40,0.49,0.57,-5.18
2021-01-01 0:02:41,0.48,0.61,-5.21
2021-01-01 0:02:42,0.48,0.58,-5.16
2021-01-01 0:02:43,0.49,0.56,-5.16
2021-01-01 0:02:44,0.49,0.59,-5.14
2021-01-01 0:02:45,0.49,0.61,-5.15
2021-01-01 0:02:46,0.48,0.57,-5.19
2021-01-01 0:02:47,0.48,0.58,-5.15
2021-01-01 0:02:48,0.47,0.61,-5.17
2021-01-01 0:02:49,0.49,0.59,-5.16
2021-01-01 0:02:50,0.44,0.62,-5.17
2021-01-01 0:02:51,0.47,0.58,-5.17
2021-01-01 0:02:52,0.48,0.57,-5.18
2021-01-01 0:02:53,0.52,0.61,-5.19
