Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-10-26 0:01:59,0.69,-1.04,-7.96
2021-10-26 0:02:00,0.84,-1.83,-8.05
2021-10-26 0:02:01,0.36,-0.02,-5.7
2021-10-26 0:02:02,0.25,2.18,-3.25
2021-10-26 0:02:03,0.99,-1.24,-8.09
2021-10-26 0:02:04,-0.02,3.3,-0.58
2021-10-26 0:02:05,1.2,-1.45,-8.53
2021-10-26 0:02:06,1.35,-1.64,-9.39
2021-10-26 0:02:07,0.51,-0.24,-6.01
2021-10-26 0:02:08,-0.01,1.68,-2.41
2021-10-26 0:02:09,1.44,-1.41,-8.64
2021-10-26 0:02:10,0.78,-1.92,-8.44
2021-10-26 0:02:11,0.65,-0.67,-6.26
2021-10-26 0:02:12,1.54,-1.31,-8.27
2021-10-26 0:02:13,0.89,-0.65,-6
2021-10-26 0:02:14,0.49,1.21,-3.72
2021-10-26 0:02:15,0.02,2.85,-0.55
2021-10-26 0:02:16,0.64,-1.03,-6.76
2021-10-26 0:02:17,0.9,-1.7,-8.64
2021-10-26 0:02:18,-0.12,1.92,-4.6
2021-10-26 0:02:19,1.02,-0.13,-7.16
2021-10-26 0:02:20,0.86,-1.49,-7.04
2021-10-26 0:02:21,0.18,2.27,-1.31
2021-10-26 0:02:22,0.71,-1.67,-6.92
2021-10-26 0:02:23,0.8,-1.84,-9.25
2021-10-26 0:02:24,0.82,0.35,-5.04
2021-10-26 0:02:25,-0.21,2.67,-1.25
2021-10-26 0:02:26,0.45,1.71,-4.45
2021-10-26 0:02:27,0.09,3.56,-0.1
2021-10-26 0:02:28,0.61,0.14,-5.23
2021-10-26 0:02:29,0.44,2.1,-1.82
2021-10-26 0:02:30,0.13,3.61,-0.11
2021-10-26 0:02:31,1.14,-1.24,-8.3
2021-10-26 0:02:32,1.38,-1.33,-8.41
2021-10-26 0:02:33,1.03,-1.63,-7.79
2021-10-26 0:02:34,0.2,2.01,-3.66
2021-10-26 0:02:35,0.18,2.42,-3.45
2021-10-26 0:02:36,0.8,0.59,-6.33
2021-10-26 0:02:37,1.23,-1.39,-8.27
2021-10-26 0:02:38,0.53,2.55,-2.05
2021-10-26 0:02:39,0.09,2.56,-3.2
2021-10-26 0:02:40,0.79,-1.99,-8.22
2021-10-26 0:02:41,0.55,-1.42,-8.3
2021-10-26 0:02:42,1.08,-1.56,-8.79
2021-10-26 0:02:43,0.55,-1.87,-8.49
2021-10-26 0:02:44,0.97,-0.78,-6.53
2021-10-26 0:02:45,0.65,1.28,-5.42
2021-10-26 0:02:46,-0.29,3.36,-0.57
2021-10-26 0:02:47,-0.61,3.3,-0.31
2021-10-26 0:02:48,1.14,-1.28,-8.46
