Datos_fch_hr,Datos_eje_x,Datos_eje_y,Datos_eje_z
2021-01-01 0:00:01,1.02,-1.27,-8.88
2021-01-01 0:00:02,0.79,-1.71,-8.4
2021-01-01 0:00:03,0.61,-0.76,-6.39
2021-01-01 0:00:04,0.63,0.95,-5.57
2021-01-01 0:00:05,0.65,-1.24,-8.34
2021-01-01 0:00:06,1.09,-1.32,-8.66
2021-01-01 0:00:07,0.69,-0.98,-6.6
2021-01-01 0:00:08,-0.14,2.56,-1.81
2021-01-01 0:00:09,0.77,1.52,-5.22
2021-01-01 0:00:10,0.08,2.83,-0.56
2021-01-01 0:00:11,0.66,-1.71,-7.24
2021-01-01 0:00:12,1.55,-1.39,-8.41
2021-01-01 0:00:13,0.92,0.35,-7.06
2021-01-01 0:00:14,1.38,-1.36,-8.46
2021-01-01 0:00:15,0.99,-1.48,-9
2021-01-01 0:00:16,1.29,-1.43,-8.38
2021-01-01 0:00:17,0.76,-1.65,-7.67
2021-01-01 0:00:18,0.93,-1.65,-7.33
2021-01-01 0:00:19,0.07,0.35,-5.25
2021-01-01 0:00:20,-0.03,2,-1.52
2021-01-01 0:00:21,0.71,2.24,-4.05
2021-01-01 0:00:22,0.96,-1.67,-7.75
2021-01-01 0:00:23,0.41,0.07,-5.52
2021-01-01 0:00:24,0.89,-1.54,-9.13
2021-01-01 0:00:25,0.85,-1.31,-8.5
2021-01-01 0:00:26,0.45,1.98,-4.38
2021-01-01 0:00:27,0.84,0.55,-6.59
2021-01-01 0:00:28,1.51,-1.16,-8.46
2021-01-01 0:00:29,0.53,-1.08,-7.87
2021-01-01 0:00:30,0.39,0.99,-3.86
2021-01-01 0:00:31,0.36,1.07,-3.83
2021-01-01 0:00:32,0.49,2.08,-4.24
2021-01-01 0:00:33,0.61,-1.52,-6.73
2021-01-01 0:00:34,0.41,1.98,-3.98
2021-01-01 0:00:35,0,3.01,-0.96
2021-01-01 0:00:36,0.25,2.1,-1.63
2021-01-01 0:00:37,0.14,2.94,-0.92
2021-01-01 0:00:38,0.54,0.48,-4.99
2021-01-01 0:00:39,-0.26,3.58,-0.24
2021-01-01 0:00:40,0.59,0.6,-4.71
2021-01-01 0:00:41,0.72,1.76,-4.44
2021-01-01 0:00:42,0.97,-0.06,-7.1
